,Side,MT_Pnl,OMMSide_Pnl,OMMSide_TE,OMMSide_Execution,OMMMid_Pnl,OMMMid_TE,OMMMid_Execution,,,Side,MT_Pnl (bp),OMMSide_Pnl (bp),OMMSide_TE,OMMSide_Execution,OMMMid_Pnl (bp),OMMMid_TE,OMMMid_Execution
48,S,-1.50E-05,1.50E-05,2,Success,0,2,Success,,48,S,-0.15,0.15,2,Success,0,2,Success
49,S,-2.50E-05,2.50E-05,1,Success,0,1,Success,,49,S,-0.25,0.25,1,Success,0,1,Success
50,S,-2.00E-05,2.00E-05,9,Success,0,9,Success,,50,S,-0.2,0.2,9,Success,0,9,Success
51,S,-3.50E-05,3.50E-05,9,Success,0,9,Success,,51,S,-0.35,0.35,9,Success,0,9,Success
52,S,-2.50E-05,2.50E-05,3,Success,0,1,Success,,52,S,-0.25,0.25,3,Success,0,1,Success
53,S,-3.00E-05,3.00E-05,1,Success,0,1,Success,,53,S,-0.3,0.3,1,Success,0,1,Success
54,S,-2.00E-05,2.00E-05,3,Success,0,1,Success,,54,S,-0.2,0.2,3,Success,0,1,Success
55,B,-2.50E-05,-0.000225,15,TTE,-0.000225,15,TTE,,55,B,-0.25,-2.25,15,TTE,-2.25,15,TTE
56,S,-2.00E-05,2.00E-05,6,Success,0,4,Success,,56,S,-0.2,0.2,6,Success,0,4,Success
57,S,-2.00E-05,2.00E-05,2,Success,0,2,Success,,57,S,-0.2,0.2,2,Success,0,2,Success
58,B,-1.00E-05,-0.00019,15,TTE,-0.00019,15,TTE,,58,B,-0.1,-1.9,15,TTE,-1.9,15,TTE
59,B,-1.50E-05,-9.50E-05,15,TTE,-9.50E-05,15,TTE,,59,B,-0.15,-0.95,15,TTE,-0.95,15,TTE
60,B,-1.50E-05,1.50E-05,3,Success,0,3,Success,,60,B,-0.15,0.15,3,Success,0,3,Success
61,B,-2.50E-05,2.50E-05,1,Success,0,1,Success,,61,B,-0.25,0.25,1,Success,0,1,Success
62,B,-1.50E-05,1.50E-05,2,Success,0,1,Success,,62,B,-0.15,0.15,2,Success,0,1,Success
63,B,-2.50E-05,-0.000295,15,TTE,0,8,Success,,63,B,-0.25,-2.95,15,TTE,0,8,Success
64,B,-2.00E-05,2.00E-05,6,Success,0,1,Success,,64,B,-0.2,0.2,6,Success,0,1,Success
65,B,-2.00E-05,2.00E-05,6,Success,0,5,Success,,65,B,-0.2,0.2,6,Success,0,5,Success
66,S,-1.50E-05,1.50E-05,6,Success,0,6,Success,,66,S,-0.15,0.15,6,Success,0,6,Success
67,S,-2.00E-05,2.00E-05,3,Success,0,3,Success,,67,S,-0.2,0.2,3,Success,0,3,Success
68,S,0,0,1,Success,0,1,Success,,68,S,0,0,1,Success,0,1,Success
69,B,-2.00E-05,2.00E-05,4,Success,0,4,Success,,69,B,-0.2,0.2,4,Success,0,4,Success
70,S,-2.50E-05,-0.000325,5,SL,-0.000325,5,SL,,70,S,-0.25,-3.25,5,SL,-3.25,5,SL
71,B,-2.50E-05,2.50E-05,2,Success,0,2,Success,,71,B,-0.25,0.25,2,Success,0,2,Success
72,S,-2.50E-05,2.50E-05,11,Success,0,7,Success,,72,S,-0.25,0.25,11,Success,0,7,Success
73,S,-1.50E-05,1.50E-05,3,Success,0,3,Success,,73,S,-0.15,0.15,3,Success,0,3,Success
74,S,-5.00E-06,5.00E-06,4,Success,0,4,Success,,74,S,-0.05,0.05,4,Success,0,4,Success
75,S,-2.00E-05,2.00E-05,4,Success,0,4,Success,,75,S,-0.2,0.2,4,Success,0,4,Success
76,B,-1.00E-05,1.00E-05,1,Success,0,1,Success,,76,B,-0.1,0.1,1,Success,0,1,Success
77,B,-2.00E-05,1.00E-05,15,TTE,0,14,Success,,77,B,-0.2,0.1,15,TTE,0,14,Success
78,B,-2.00E-05,2.00E-05,12,Success,0,12,Success,,78,B,-0.2,0.2,12,Success,0,12,Success
79,B,-2.00E-05,2.00E-05,1,Success,0,1,Success,,79,B,-0.2,0.2,1,Success,0,1,Success
80,B,-2.00E-05,2.00E-05,2,Success,0,2,Success,,80,B,-0.2,0.2,2,Success,0,2,Success
81,B,-2.00E-05,2.00E-05,2,Success,0,1,Success,,81,B,-0.2,0.2,2,Success,0,1,Success
82,B,-2.00E-05,2.00E-05,15,TTE,0,2,Success,,82,B,-0.2,0.2,15,TTE,0,2,Success
83,S,-2.50E-05,-0.000105,15,TTE,0,3,Success,,83,S,-0.25,-1.05,15,TTE,0,3,Success
84,S,-3.00E-05,-0.00013,15,TTE,-0.00013,15,TTE,,84,S,-0.3,-1.3,15,TTE,-1.3,15,TTE
85,S,-2.00E-05,-0.00013,15,TTE,-0.00013,15,TTE,,85,S,-0.2,-1.3,15,TTE,-1.3,15,TTE
86,S,-2.00E-05,-9.00E-05,15,TTE,-9.00E-05,15,TTE,,86,S,-0.2,-0.9,15,TTE,-0.9,15,TTE
87,S,-2.50E-05,-0.000115,15,TTE,-0.000115,15,TTE,,87,S,-0.25,-1.15,15,TTE,-1.15,15,TTE
88,S,-2.00E-05,-0.00011,15,TTE,-0.00011,15,TTE,,88,S,-0.2,-1.1,15,TTE,-1.1,15,TTE
89,S,-2.50E-05,-0.000105,15,TTE,-0.000105,15,TTE,,89,S,-0.25,-1.05,15,TTE,-1.05,15,TTE
